program_name,department,description,apply_url
Industrial Research Assistance Program (IRAP),National Research Council,"IRAP provides advisory services and funding to help small and medium-sized enterprises across Canada accelerate research and development projects. Available to firms with 1 to 500 employees nationally. Funding contributions typically range from 50000 to 500000 dollars for R&D and digital transformation activities.",https://nrc.canada.ca/en/support-technology-innovation
CanExport SME,Innovation Science and Economic Development,"CanExport SME helps small and medium businesses in all provinces and territories pursue new export opportunities. Companies with 1 to 500 employees can receive between 10000 and 50000 dollars to cover export market development costs.",https://www.tradecommissioner.gc.ca/funding-financement/canexport/sme-pme/index.aspx
Cyber Security Innovation Network,National Research Council,"Funds collaborative cybersecurity research and commercialization projects led by Canadian firms. Targets companies of all sizes focused on R&D in security technologies. Grants of up to 1000000 dollars.",https://ised-isde.canada.ca/site/cyber-security-innovation-network/en
Strategic Innovation Fund,Innovation Science and Economic Development,"The Strategic Innovation Fund supports large-scale, transformative industrial research and development projects. Open to firms with 200 or more employees across Canada undertaking R&D, equipment, and manufacturing investments. Contributions start at 500000 dollars.",https://ised-isde.canada.ca/site/strategic-innovation-fund/en
Clean Growth Program,National Research Council,"Supports clean technology research and development and equipment investments for companies in the natural resource sectors. Available to firms in Alberta, British Columbia, and Saskatchewan with 11 to 200 employees. Funding from 100000 to 5000000 dollars.",https://www.nrcan.gc.ca/climate-change/clean-growth-program/20254
AgriInnovate Program,Agriculture and Agri-Food Canada,"AgriInnovate provides repayable contributions to accelerate the commercialization of agricultural innovations. Open to agri-businesses nationally with 11 to 200 employees. Loans of 50000 to 10000000 dollars for equipment and R&D.",https://agriculture.canada.ca/en/programs/agriinnovate
Advisory Services Program,FedDev Ontario,"Provides advisory services and small grants to Ontario-based small businesses for management consulting and business strategy. Available to firms in Ontario with 1 to 50 employees. Grants up to 100000 dollars.",https://feddev-ontario.canada.ca/en
Genomics Research Program,Atlantic Canada Opportunities Agency,"Funds life sciences and genomics research projects in Atlantic Canada. Open to firms in Nova Scotia, New Brunswick, Newfoundland and Labrador, and Prince Edward Island. Companies with 11 to 200 employees focused on R&D. Grants from 100000 to 500000 dollars.",https://www.canada.ca/en/atlantic-canada-opportunities.html
Digital Adoption Program,Innovation Science and Economic Development,"The Canada Digital Adoption Program helps small and medium businesses adopt digital technologies. Available nationally to firms with 1 to 200 employees pursuing digital transformation. Grants of 15000 dollars plus interest-free loans up to 100000 dollars.",https://ised-isde.canada.ca/site/canada-digital-adoption-program/en
Advanced Manufacturing Fund,Atlantic Canada Opportunities Agency,"Supports advanced manufacturing and equipment investments by firms in Atlantic Canada. Open to manufacturers with 51 to 200 employees. Contributions from 250000 to 2000000 dollars for equipment and hiring.",https://www.canada.ca/en/atlantic-canada-opportunities.html
