ref_number,amendment_number,agreement_type,recipient_legal_name,recipient_operating_name,recipient_business_number,recipient_province,recipient_city,prog_name_en,prog_purpose_en,agreement_value,agreement_start_date,agreement_end_date,description_en,naics_identifier,owner_org,owner_org_title
R-2023-001,0,G,Maple Tech Solutions Inc.,Maple Tech,800111222,Ontario,Toronto,Industrial Research Assistance Program,Support SME R&D,150000,2023-05-01,2024-04-30,Software R&D project for cloud platform,541510,nrc-cnrc,National Research Council
R-2023-001,1,G,Maple Tech Solutions Inc.,Maple Tech,800111222,Ontario,Toronto,Industrial Research Assistance Program,Support SME R&D,175000,2023-05-01,2024-06-30,Software R&D project for cloud platform amended,541510,nrc-cnrc,National Research Council
R-2023-001,2,G,Maple Tech Solutions Inc.,Maple Tech,800111222,on,Toronto,Industrial Research Assistance Program,Support SME R&D,200000,2023-05-01,2024-09-30,Software R&D project for cloud platform final,541510,nrc-cnrc,National Research Council
R-2023-002,0,C,Maple Tech Solutions,,800111222,ON,Toronto,Digital Adoption Program,Digital transformation grant,95000,01/06/2023,30/05/2024,Adoption of digital tools,541510,ised-isde,Innovation Science and Economic Development
R-2023-003,0,G,MAPLE TECH SOLUTIONS LTD,Maple Tech,800111222,Ontario,Toronto,CanExport SME,Export market development,48000,2022/11/15,2023/10/30,Export expansion to US market,541510,ised-isde,Innovation Science and Economic Development
R-2023-004,0,G,Northern Cyber Defence Corp.,Northern Cyber,801222333,British Columbia,Vancouver,Cyber Security Innovation Network,Cybersecurity research,320000,2023-04-10,2025-03-31,Threat detection platform R&D,541512,nrc-cnrc,National Research Council
R-2023-005,0,C,Northern Cyber Defense Corporation,,801222333,bc,Vancouver,Cyber Security Innovation Network,Cybersecurity research,-15000,2023-04-10,2025-03-31,Credit amendment for prior overpayment,541512,nrc-cnrc,National Research Council
R-2023-006,0,G,Quantum Engineering Group,Quantum Eng,802333444,Quebec,Montreal,Strategic Innovation Fund,Advanced engineering,540000,2023-07-01,2026-06-30,Aerospace component engineering,541330,ised-isde,Innovation Science and Economic Development
R-2023-007,0,G,Quantum Engineering,Quantum Eng,802333444,québec,Montreal,Strategic Innovation Fund,Advanced engineering,0,2023-07-01,2026-06-30,Zero-value placeholder agreement,541330,ised-isde,Innovation Science and Economic Development
R-2023-008,0,G,Atlantic BioHealth Inc.,Atlantic BioHealth,803444555,Nova Scotia,Halifax,Genomics Research Program,Life sciences research,275000,2022-09-01,2024-08-31,Genomic sequencing platform,541714,acoa-apeca,Atlantic Canada Opportunities Agency
R-2023-009,0,G,GreenWave Clean Energy Ltd,GreenWave,804555666,Alberta,Calgary,Clean Growth Program,Clean technology,410000,03/15/2023,12/31/2025,Carbon capture pilot project,541620,nrc-cnrc,National Research Council
